year,Wheat,Maize,Barley,Sorghum,Rice
2025,292.5301497603299,228.31990086328966,183.7142237079563,227.72279444082955,519.9564398148142
2026,294.0621474225524,228.4839507643439,185.78537191077493,229.9305229100705,525.9186157407402
2027,294.0513077085207,233.43908631475574,187.3511994452429,234.23657321350808,526.0424351851846
2028,294.5523841733856,233.53353747593255,187.72841686734557,234.88261215634208,525.5183518518513
2029,295.01308069529756,234.27266569968506,193.63190893509,237.8145366632353,532.5739027777772
2030,296.5016536976671,237.7739438422626,194.52320872600072,238.8025178495507,533.8627546296291
