feature,importance
barley_mean,0.2763221013775907
oil_mean,0.2266770311568298
maize_mean,0.22423044141755152
sorghum_mean,0.13437773667572847
rice_mean,0.05449596602425001
oats_production,0.022764693282881922
barley_production,0.01655838487324525
maize_production,0.011866499423556753
sorghum_production,0.008620970186198746
buckwheat_production,0.008201210096179697
rice_production,0.00585737161341229
millet_production,0.0035940616346737146
rye_production,0.0034948522463382355
wheat_production,0.002938679991562853
