feature,importance
oil_mean,0.5248253872252502
wheat_mean,0.20871726372630361
maize_mean,0.11542142695669926
rice_mean,0.05397898787262431
sorghum_mean,0.01981521697245763
sorghum_production,0.017135719873143163
oats_production,0.0107109010470841
millet_production,0.008818004324800153
rye_production,0.008638601613337384
maize_production,0.008317341987689963
buckwheat_production,0.007401934009406419
rice_production,0.006407535249271963
barley_production,0.005153366030033061
wheat_production,0.004658313111898948
