feature,importance
barley_mean,0.1806107711183343
wheat_mean,0.1722789173958799
oil_mean,0.16065361432606284
sorghum_mean,0.1274220225398497
rice_mean,0.1170468297577662
oats_production,0.07411638116814963
maize_production,0.05617044911272188
buckwheat_production,0.042323618667427
sorghum_production,0.022162690183827428
barley_production,0.017538770841594768
rye_production,0.013553046672184333
wheat_production,0.007434264485757308
rice_production,0.0046918369810373005
millet_production,0.003996786749407525
