feature,importance
buckwheat_production,0.34911434415015896
oats_production,0.1898954248985881
maize_mean,0.12617730154202494
maize_production,0.08280857360246642
wheat_mean,0.07918684779737928
barley_production,0.04274776844646297
oil_mean,0.028297663175340396
barley_mean,0.02562677672084933
millet_production,0.019681773365064065
wheat_production,0.017095078926174883
rye_production,0.01324772884696522
sorghum_mean,0.0102510355443637
sorghum_production,0.009562028369457395
rice_production,0.006307654614704414
