feature,importance
maize_mean,0.2535738785248107
oats_production,0.1847523821175459
wheat_mean,0.1804684132311246
oil_mean,0.10913246804740306
rice_mean,0.07905827391819721
barley_mean,0.05470309190478783
maize_production,0.04932278094879377
buckwheat_production,0.028905264997101447
sorghum_production,0.02050441905857531
barley_production,0.017942327539915568
rice_production,0.009589407651318502
wheat_production,0.0047760858004734855
rye_production,0.004036089825211102
millet_production,0.0032351164347413784
